Categoria criminologa;Sottocategoria Criminologica;Circoscrizione;Localita;Area Verde;Data;Ora
Convivenza Civile;Altro;7;LESSOLO/(VIA)                                                         ;;05/06/2015;
Convivenza Civile;Altro;8;LOMBROSO/CESARE (VIA)                                                 ;;08/06/2015;
Convivenza Civile;Altro;5;COPPINO/MICHELE (VIA)                                                 ;;09/06/2015;
Convivenza Civile;Altro;6;MERCADANTE/SAVERIO (VIA)                                              ;;09/06/2015;
Convivenza Civile;Altro;7;REGINA MARGHERITA/(CORSO)                                             ;;09/06/2015;
Convivenza Civile;Altro;8;D'AZEGLIO/MASSIMO (CORSO)                                             ;;09/06/2015;
Convivenza Civile;Altro;3;VITTORIO EMANUELE II/(CORSO)                                          ;;10/06/2015;
Convivenza Civile;Altro;9;CERCENASCO/(VIA)                                                      ;;10/06/2015;
Convivenza Civile;Altro;5;BRUSA/EMILIO (VIA)                                                    ;;11/06/2015;
Convivenza Civile;Altro;4;PINELLI/PIERDIONIGI (VIA)                                             ;;12/06/2015;
Convivenza Civile;Altro;5;FOLIGNO/(VIA)                                                         ;;12/06/2015;
Convivenza Civile;Altro;6;SCARLATTI/ALESSANDRO (VIA)                                            ;;12/06/2015;
Convivenza Civile;Altro;1;LORIA/ACHILLE (VIA)                                                   ;;12/06/2015;10.11
Convivenza Civile;Altro;3;BRUNELLESCHI/FILIPPO (CORSO)                                          ;;15/06/2015;
Convivenza Civile;Altro;6;DONATORE DI SANGUE/(PIAZZA DEL)                                       ;;15/06/2015;
Convivenza Civile;Altro;7;S. GIULIA/(PIAZZA)                                                    ;;15/06/2015;
Convivenza Civile;Altro;7;TOTI/ENRICO (PIAZZA)                                                  ;;15/06/2015;
Convivenza Civile;Altro;;;Area Verde;15/06/2015;09.00
Convivenza Civile;Altro;6;BOLOGNA/(VIA)                                                         ;;15/06/2015;09.39
Convivenza Civile;Altro;6;SETTIMO/(STRADA DI)                                                   ;;16/06/2015;
Convivenza Civile;Altro;6;CRUTO/ALESSANDRO (VIA)                                                ;;16/06/2015;07.51
Convivenza Civile;Altro;7;S. GIULIA/(VIA)                                                       ;;16/06/2015;08.47
Convivenza Civile;Altro;3;RACCONIGI/(CORSO)                                                     ;;17/06/2015;
Convivenza Civile;Altro;9;ALASSIO/(VIA)                                                         ;;17/06/2015;
Convivenza Civile;Altro;5;BORSI/GIOSUE' (VIA)                                                   ;;17/06/2015;15.43
Convivenza Civile;Altro;6;AGLIE'/(VIA)                                                          ;;19/06/2015;
Convivenza Civile;Altro;8;FIUME/(CORSO)                                                         ;;19/06/2015;
Convivenza Civile;Altro;7;GASSINO/(VIA)                                                         ;;20/06/2015;15.40
